team_id,school name,full school name,nickname,conference,place,reg
20117,Dallas Baptist,Dallas Baptist University,Patriots,Missouri Valley Conference,"Dallas,Texas",TX
20038,Dartmouth,Dartmouth College,Big Green,Ivy League,"Hanover,New Hampshire",NH
20529,Davidson,Davidson College,Wildcats,Atlantic 10 Conference,"Davidson,North Carolina",NC
20896,Dayton,University of Dayton,Flyers,Atlantic 10 Conference,"Dayton,Ohio",OH
20078,Delaware,University of Delaware,Blue Hens,Colonial Athletic Association,"Newark,Delaware",DE
20383,Delaware State,Delaware State University,Hornets,Mid-Eastern Athletic Conference,"Dover,Delaware",DE
20118,Duke,Duke University,Blue Devils,Atlantic Coast Conference,"Durham,North Carolina",NC
20384,East Carolina,East Carolina University,Pirates,American Athletic Conference,"Greenville,North Carolina",NC
20385,East Tennessee state,East Tennessee State University,Buccaneers,Southern Conference,"Johnson City,Tennessee",TN
20174,Eastern Illinois,Eastern Illinois University,Panthers,Ohio Valley Conference,"Charleston,Illinois",IL
20175,Eastern Kentucky,Eastern Kentucky University,Colonels,Ohio Valley Conference,"Richmond,Kentucky",KY
20447,Eastern Michigan,Eastern Michigan University,Eagles,Mid-American Conference,"Ypsilanti,Michigan",MI
20537,Elon,Elon University,Phoenix,Colonial Athletic Association,"Elon,North Carolina",NC
20176,Evansville,University of Evansville,Purple Aces,Missouri Valley Conference,"Evansville,Indiana",IN
20835,Fairfield,Fairfield University,Stags,Metro Atlantic Athletic Conference,"Fairfield,Connecticut",CT
20982,Fairleigh Dickinson,Fairleigh Dickinson University,Knights,Northeast Conference,"Teaneck,New Jersey",NJ
20177,Florida,University of Florida,Gators,Southeastern Conference,"Gainesville,Florida",FL
20079,Florida A&M,Florida A&M University,Rattlers,Mid-Eastern Athletic Conference,"Tallahassee,Florida",FL
20543,Florida Atlantic,Florida Atlantic University,Owls,Conference USA,"Boca Raton,Florida",FL
21988,Florida Gulf Coast,Florida Gulf Coast University,Eagles,Atlantic Sun Conference,"Fort Myers,Florida",FL
20041,Florida International,Florida International University,Golden Panthers,Conference USA,"Miami,Florida",FL
20022,Florida State,Florida State University,Seminoles,Atlantic Coast Conference,"Tallahassee,Florida",FL
20122,Fordham,Fordham University,Rams,Atlantic 10 Conference,"New York,New York",NY
20033,Fresno State,Fresno State University,Bulldogs,Mountain West Conference,"Fresno,California",CA
20292,Furman,Furman University,Paladins,Southern Conference,"Greenville, South Carolina",SC
21025,Gardner-Webb,Gardner-Webb University,Bulldogs,Big South Conference,"Boiling Springs,North Carolina",NC
20123,George Mason,George Mason University,Patriots,Atlantic 10 Conference,"Fairfax,Virginia",VA
20070,George Washington,George Washington University,Colonials,Atlantic 10 Conference,"Washington,DC",DC
20489,Georgetown,Georgetown University,Hoyas,Big East Conference,"Washington,DC",DC
20350,Georgia,University of Georgia,Bulldogs,Southeastern Conference,"Athens,Georgia",GA
20090,Georgia Southern,Georgia Southern University,Eagles,Sun Belt Conference,"Statesboro,Georgia",GA
21026,Georgia State,Georgia State University,Panthers,Sun Belt Conference,"Atlanta,Georgia",GA
20124,Georgia Tech,Georgia Tech,Yellow Jackets,Atlantic Coast Conference,"Atlanta,Georgia",GA
20239,Gonzaga,Gonzaga University,Bulldogs,West Coast Conference,"Spokane,Washington",WA
20083,Grambling State,Grambling State University,Tigers,Southwest Athletic Conference,"Grambling,Louisiana",LA
20125,Grand Canyon,Grand Canyon University,Antelopes,Western Athletic Conference,"Phoenix,Arizona",AZ
20045,Hartford,University of Hartford,Hawks,America East Conference,"Hartford,Connecticut",CT
20257,Harvard,Harvard University,Crimson,Ivy League,"Cambridge,Massachusetts",MA
20450,Hawaii,University of Hawaii,Rainbows,Big West Conference,"Honolulu,Hawaii",HI
21090,High Point,High Point University,Panthers,Big South Conference,"High Point,North Carolina",NC
20393,Hofstra,Hofstra University,Pride,Colonial Athletic Association,"Hempstead,New York",NY
20800,Holy Cross,College of the Holy Cross,Crusaders,Patriot League,"Worcester,Massachusetts",MA
20254,Houston,University of Houston,Cougars,American Athletic Conference,"Houston,Texas",TX
20952,Houston Baptist,Houston Baptist University,Huskies,Southland Conference,"Houston,Texas",TX
20178,Illinois,University of Illinois,Fighting Illini,Big Ten Conference,"Urbana,Illinois",IL
20129,Illinois State,Illinois State University,Redbirds,Missouri Valley Conference,"Normal,Illinois",IL
20891,Illinois-Chicago,University of Illinois-Chicago,Flames,Horizon League,"Chicago,Illinois",IL
20904,Incarnate Word,University of the Incarnate Word,Cardinals,Southland Conference,"San Antonio,Texas",TX
20452,Indiana,Indiana University,Hoosiers,Big Ten Conference,"Bloomington,Indiana",IN
20256,Indiana State,Indiana State University,Sycamores,Missouri Valley Conference,"Terre Haute,Indiana",IN
20565,Iona,Iona College,Gaels,Metro Atlantic Athletic Conference,"New Rochelle,New York",NY
20179,Iowa,University of Iowa,Hawkeyes,Big Ten Conference,"Iowa City,Iowa",IA
20396,Jackson State,Jackson State University,Tigers,Southwest Athletic Conference,"Jackson,Mississippi",MS
20566,Jacksonville,Jacksonville University,Dolphins,Atlantic Sun Conference,"Jacksonville,Florida",FL
20131,Jacksonville State,Jacksonville State University,Gamecocks,Ohio Valley Conference,"Jacksonville,Alabama",AL
